Colorado Department of Revenue,,,,
Marijuana Sales by County Report,,,,
January 2014 to Date,,,,
,,,,
Month,Year,County,Medical Marijuana Sales ¹,Retail Marijuana Sales ²
4,2015,Saguache,NA,NR
4,2015,San Juan,NA,NR
4,2015,San Miguel,"$38,531 ","$150,531 "
4,2015,Sedgwick,NR,NR
4,2015,Summit,"$305,570 ","$953,219 "
4,2015,Teller,NR,NA
4,2015,Weld,"$350,491 ","$1,521,411 "
5,2015, Total,"$33,609,116 ","$44,590,853 "
5,2015,Adams,"$495,716 ","$1,687,270 "
5,2015,Alamosa,NR,NA
5,2015,Arapahoe,"$1,588,756 ","$3,615,509 "
5,2015,Archuleta,NR,NR
5,2015,Boulder,"$2,451,648 ","$4,281,906 "
5,2015,Chaffee,NR,"$312,605 "
5,2015,Clear Creek,"$96,276 ","$348,152 "
5,2015,Costilla,NR,NR
5,2015,Denver,"$15,598,475 ","$17,590,490 "
5,2015,Eagle,"$259,399 ","$432,292 "
5,2015,El Paso,"$6,793,848 ",NR
5,2015,Fremont,"$200,945 ",NA
5,2015,Garfield,"$407,487 ","$720,995 "
5,2015,Gilpin,NR,"$143,079 "
5,2015,Grand,NR,NR
5,2015,Gunnison,NR,"$176,131 "
5,2015,Jefferson,"$1,933,694 ","$2,538,231 "
5,2015,La Plata,"$452,253 ","$1,155,547 "
5,2015,Lake,NA,NR
5,2015,Larimer,"$1,292,742 ","$2,292,433 "
5,2015,Las Animas,NR,"$606,835 "
5,2015,Mesa,NR,NR
5,2015,Moffat,NR,NA
5,2015,Montezuma,"$136,143 ","$403,035 "
5,2015,Montrose,NR,NA
5,2015,Morgan,NR,NR
5,2015,Ouray,NR,NR
5,2015,Park,NR,"$154,563 "
5,2015,Pitkin,"$57,287 ","$329,419 "
5,2015,Pueblo,"$396,182 ","$1,482,501 "
5,2015,Routt,"$163,870 ","$419,611 "
5,2015,Saguache,NA,NR
5,2015,San Juan,NA,NR
5,2015,San Miguel,NR,"$153,689 "
5,2015,Sedgwick,NR,NR
5,2015,Summit,"$224,409 ","$719,343 "
5,2015,Teller,NR,NA
5,2015,Weld,"$342,765 ","$1,636,318 "
6,2015, Total,"$34,552,396 ","$46,460,218 "
6,2015,Adams,"$441,872 ",NR
6,2015,Alamosa,NR,NA
6,2015,Arapahoe,"$1,525,525 ","$3,753,244 "
6,2015,Archuleta,NR,NR
6,2015,Boulder,"$2,363,534 ","$4,273,572 "
6,2015,Chaffee,NR,NR
6,2015,Clear Creek,"$90,303 ","$441,514 "
6,2015,Costilla,NR,NR
